CellIdx,Sentence
278,"{jacques is ready to drop in a dollar amount on the release.  if the , phillip, utilities.  hopefully things will go smoothly., negotiations stall, it seems like i need to go ahead and cut off the , will be removed and replaced with siding.  if they are getting quotes to put , a description of the work to be done.  it is my understanding that some rock , something in the $3,000 to $5,000 range.  i would like to see the quotes and , let me know when you get the quotes from pauline.  i am expecting to pay , up new rock then we will need to clarify.}"
279,"{jeff,, jacques craig will draw up a release.  what is the status on the quote from , wade?  , phillip}"
280,{send his resume to karen buckley.  i believe there will be a full round of interviews for the trading track in may.}
281,"{as solid as numbers in first set of graphs., additional charts attempting to explain increase in demand by hydro, load , bcc: , cc:  , graphs, and historical data., attached is the final version of the california summary report with maps, , cc:  , growth, and temperature.  many assumptions had to be made.  the data is not , 	from:  jay reitmeyer                           05/03/2001 11:03 am, 	, 	,    , 11:22 am ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 05/07/2001 , 	}"
282,"{cc: linda j noske/hou/ect@ect , privileged & confidential communication, attorney-client communication and attorney work product privileges asserted, time:    1:00 pm pacific, 3:00 pm central, and 4:00 pm eastern time,,  number:   1-888-271-0949, ,  host code:  661877, (for jim only),,  participant code: 936022, (for everyone else),, attached is the table of the on-going ferc issues and proceedings updated for , use on tomorrow's conference call.  it is available to all team members on , power-  discussion of ferc market monitoring and mitigation order in , appropriate., proposed agenda for tomorrow:, el00-95-12 and review of upcoming filings, gas- response to subpoenas of socal edison in rp00-241 and upcoming items, misc., i will be unable to participate in the call tomorrow as i will be attending , the senate energy and resource committee hearing on the elements of the ferc , market monitoring and mitigation order., allen/hou/ect@ect, the o drive. please feel free to revise/add to/ update this table as , steffes/na/enron@enron, jalexander@gibbs-bruns.com, phillip k , they happened every day., cantrell/hou/ect@ect, donna fulton/corp/enron@enron, jeff , can you guys coordinate to make sure someone listens to this conference call , each week.  tara from the fundamental group was recording these calls when , phillip, ---------------------- forwarded by phillip k allen/hou/ect on 05/07/2001 , 07:26 am ---------------------------, james d steffes@enron, 05/03/2001 05:44 am, cc:  , privileged & confidential communication, dasovich/na/enron@enron, christi l nicolay/hou/ect@ect, james d , please forward to anyone on your team that wants updates on western wholesale , matters (should also give you an opportunity to raise state matters if you , want to discuss)., jim, ---------------------- forwarded by james d steffes/na/enron on 05/03/2001 , 07:42 am ---------------------------, ray alvarez, 05/02/2001 05:40 pm, comnes/pdx/ect@ect, leslie lawner/na/enron@enron, rebecca w , attorney-client communication and attorney work product privileges asserted}"
283,"{maturity date:  august 29, 2001, for more details please contact me at (713) 853-9510, bill sb 6x passed the senate yesterday, but little can be done at this time, the senate passed sb 6x yesterday, which authorizes $5  billion to create the , additional amount of bonds that must be authorized to pay for purchasing , authorized under sb 6x is not the  same as the $5 billion that must be , authorized by the legislature to pay for  power already purchased, or the , blended ir:  5.38%, power going forward.  again, the republicans are not in support of these , california consumer power and conservation  authority.    the $5 billion , current projected ,    bear stearns  $625 m, projected interest rate: taxable rate  5.77%, tax exempt portion: of the $4.125 b; $1.6 b is expected to be tax-exempt, authorizations.  without the details of the long-term power contracts the ,    lehman brothers  $1.0 b, lenders:  jp morgan  $2.5 b, initial loan amount: $4.125 b, key points of the bridge financing,  , there are some indications that lehman may  back out of the bridge loan., lehman brothers reportedly also feels that a  bridge loan is unnecessary and , republicans intend to bring this up in debate on  monday.  additionally, ,    tax-exempt rate  4.77%, governor has  negotiated, the republicans do not know what the final bond , the california public power and conservation authority.  however, this can  , support.   no further action can be taken regarding the implementation of  sb , the dwr proportionately from rate payments., bankruptcy.  socal is urging the legislature to pay both the utilities and , passed by the legislature, it appears likely that socal will likely file for , state will get paid before the utilities.  if this language is included and , then the utilities would receive the residual amount.  in other words, the , stating that the dwr would received 100% of its payments from ratepayers, , issuance, would be an effort by senator bowen to amend sb 31x (bridge loan) , the second likely triggering event, which is linked directly to the bond , bankruptcy (or its creditor - involuntary) due to the lack operating cash.  , that it will not pas the mou, socal would likely file for voluntary , and the senate lack the votes needed to pass.  if the legislature indicates , signed it.  the republicans are against the mou in its current form and davis , to sources, the state has yet to sign the mou with socal, though socal has , august 15th, however, some decision will likely be made earlier.  according , governor.  the specified deadline for legislative approval of the mou is , first would be a legislative rejection of the mou between socal and the , other republicans reportedly do not support issuing any  bonds.  the , socal edison and bankruptcy,  , idea  earlier in the crisis., be considered a victory for consumer advocates, who began promoting this , for purchasing power.    also, there is no staff, defined purpose, etc. for  , 6x until it is clarified how and when the state and the utilities get paid  , amount is that must  be issued and that taxpayers will have to pay to , at this point, two events would be likely to trigger a socal bankruptcy.  the , that only 1/2 of the bonds (or approximately $5 billion)  should be issued.  , republicans do not believe there should be a bridge loan due to money , the fund.  clearly there is a lack of good faith between the legislature and , bonds are issued to replenish the general fund, davis would ""double dip"" into , democrats reportedly do not trust davis and express concern that, once the , reportedly ""unwilling to fight"" for davis.  many legislative republicans and , and democratic caucuses are turning against davis.  the democratic caucus is , deal has reportedly fallen apart.  according to sources, both the republicans , bond issuance/bridge loan by the may 8th deadline.   any possibility for a , available in the general fund.  for instance, tony  strickland has stated , of support, bridge loan financing bills may not meet their may 8th deadline due to lack , the governor.  however, it is believed once davis discloses the details of , if you have any questions, please contact kristin walsh at (713) 853-9510., tholan/enron@enronxgate, britt whitman/enron@enronxgate, lloyd , steffes/na/enron@enron, mark tawney/enron@enronxgate, scott , ribeiro/enron@enronxgate, richard shapiro/na/enron@enron, james d , milnthorp/cal/ect@ect, kevin m presto/hou/ect@ect, claudio , kaminski/hou/ect@ect, steven j kean/na/enron@enron, rob , grigsby/hou/ect@ect, tim heizenrader/enron@enronxgate, vince j , dasovich/na/enron@enron, chris gaskill/enron@enronxgate, mike , cc: phillip k allen/hou/ect@ect, tim belden/enron@enronxgate, jeff , 06:54 am ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 05/07/2001 , will/hou/ect@ect , the power contracts negotiated, a bond issuance will take place.  , sources report there will not be a vote regarding the authorization for the , power contracts (as opposed to those still in development) require that the , according to sources close to the republicans in  the legislature, , additionally, some generator sources have reported that some of the long-term , likely to cause a socal  bankruptcy). , get paid before the utilities from rate payments (which, if passed, would be , currently in ab 8x.  senator  bowen's language states that the state should , amended to include language relevant to the bond sale by senator bowen, , community college districts.  however, sources report this bill may be , republican support.  ab 31x deals with energy conservation programs for , passed the senate in march, but has stalled in the assembly due to a lack of , 31x.  ab 8x authorizes the dwr to sell up to $10 billion in bonds.  this bill , currently there are two bills dealing  with the bridge  loan; ab 8x and ab ,  , details and terms of all long-term contracts he has negotiated, before they , will support the bond issuance to go forward., contract.  sources state that if the legislature does not pass the bridge , loan legislation by may 8th, having a bond issuance by july 1st will be very , difficult., the republicans were planning to offer an alternative plan whereby the state , bond issuance happen by july 1, 2001.  if not, the state may be in breach of , fund, thereby decreasing the amount of the bond issuance to approximately $8 , billion.  however, the reportedly now are not  going to offer even this , concession.  sources report that the republicans intend to hold out for full , disclosure of the governor's plan for handling the crisis, including the , would ""eat"" the $5 billion cost of power spent to date out of the general }"
284,"{use on tomorrow's conference call.  it is available to all team members on , privileged & confidential communication, attorney-client communication and attorney work product privileges asserted, time:    1:00 pm pacific, 3:00 pm central, and 4:00 pm eastern time,,  number:   1-888-271-0949, ,  host code:  661877, (for jim only),,  participant code: 936022, (for everyone else),, attached is the table of the on-going ferc issues and proceedings updated for , the o drive. please feel free to revise/add to/ update this table as , gas- response to subpoenas of socal edison in rp00-241 and upcoming items, proposed agenda for tomorrow:, power-  discussion of ferc market monitoring and mitigation order in , market monitoring and mitigation order., el00-95-12 and review of upcoming filings, misc., i will be unable to participate in the call tomorrow as i will be attending , the senate energy and resource committee hearing on the elements of the ferc , cc: linda j noske/hou/ect@ect , appropriate., allen/hou/ect@ect, 05/03/2001 05:44 am, dasovich/na/enron@enron, christi l nicolay/hou/ect@ect, james d , steffes/na/enron@enron, jalexander@gibbs-bruns.com, phillip k , 	jane.tholt@enron.com, jay.reitmeyer@enron.com, , 	tori.kuykendall@enron.com, matthew.lenhart@enron.com, 10:15 am ---------------------------, james d steffes@enron, cc:  , privileged & confidential communication, attorney-client communication and attorney work product privileges asserted, please forward to anyone on your team that wants updates on western wholesale , ---------------------- forwarded by phillip k allen/hou/ect on 05/04/2001 , want to discuss)., jim, ---------------------- forwarded by james d steffes/na/enron on 05/03/2001 , 07:42 am ---------------------------, ray alvarez, 05/02/2001 05:40 pm, comnes/pdx/ect@ect, leslie lawner/na/enron@enron, rebecca w , cantrell/hou/ect@ect, donna fulton/corp/enron@enron, jeff , matters (should also give you an opportunity to raise state matters if you }"
285,"{jet ski's.  flying somewhere takes too much time., my suggestion for where to go is austin.  play golf and rent a ski boat and , round table discussion format.  , just waiting for their turn.   the meetings might be better if held in a , and what is not.  too often the presenter speaks and the others are quiet , and stimulate discussions across the different groups about what is working , the business plan meetings here then take a trip without any formal business , even desired or necessary., meetings.  i would even try and get some honest opinions on whether a trip is , especially if you have to prepare a presentation.  i would suggest holding , traveling to have a business meeting takes the fun out of the trip.  , as far as the business meetings, i think it would be more productive to try }"
286,"{phillip, thank you,, tim,, mike grigsby is having problems with accessing the west power site.  can you , please make sure he has an active password.  }"
287,"{reagan,, just wanted to give you an update.  i have changed the unit mix to include , some 1 bedrooms and reduced the number of buildings to 12.  kipp flores is , working on the construction drawings.  at the same time i am pursuing fha , financing.  once the construction drawings are complete i will send them to , you for a revised bid.  your original bid was competitive and i am still , attracted to your firm because of your strong local presence and contacts., phillip}"
288,"{phillip, gas desk is included., jim,, is there going to be a conference call or some type of weekly meeting about , all the regulatory issues facing california this week?  can you make sure the }"
289,"{do you have any distribution groups that messaging maintains for you (for ,     if yes, who?  no, is anyone else responsible for updating your address book?  ,     if yes, who?  no, do you have access to a shared calendar?  ,     if yes, which shared calendar?  yes, west calendar, mass mailings)?  ,        if so, when?        from (mm/dd/yy):      to (mm/dd/yy):      , please list all notes databases applications that you currently use:  none, in our efforts to plan the exact date/time of your migration, we also will , need to know:, what are your normal work hours?  from:     7:00 am to:      5:00 pm, will you be out of the office in the near future for vacation, leave, etc? no,     if yes, who?  ina rangel,     if yes, please list here:  no, does anyone have permission to access your email/calendar?  yes, are you responsible for updating anyone else's address book?  , do you have permission to access anyone's email/calendar?  no,     if yes, who?  , ---------------------- forwarded by phillip k allen/hou/ect on 05/02/2001 , 05:26 am ---------------------------, 05/01/2001 12:24 pm, cc:  ,    , -, ina rangel, login id:   pallen, extension:  3-7041, office location:  eb3210c, what type of computer do you have?  (desktop,  laptop,  both)  both, do you have a pda?  if yes, what type do you have:   (none, ipaq, palm pilot, , jornada)  ipaq, full name:        phillip allen}"
290,{have him send his resume to karen buckley in hr.  there is a new round of trading track interviews in may.}
291,"{please note:  at this time, the owa client is only accessible while , connecting to the enron network (lan).  there are future plans to make owa , available from your home or when traveling abroad., how to access outlook web access (owa), substitute ""john.doe"" with your first and last name, then click enter.  you , launch internet explorer 5.0, and in the address window type:  , http://nahou-msowa01p/exchange/john.doe, will be prompted with a sign in box as shown below.  type in ""corp/your user , for remote access to your mailbox., id"" for the user name and your nt password to logon to owa and click ok.  you , after your outlook client is configured, you can use outlook web access (owa) , via notes, and you will not be able to start using outlook until it is , client is configured on your desktop., to-do entries imported from notes will not be available until the outlook , outlook 2000 migration team, web browser (internet explorer 5.0) to read and send mail., migrated.  during this period, you can use outlook web access (owa) via your , configured by the outlook migration team the morning after your mailbox is , will now be able to view your mailbox., after migration of your mailbox, you will not be able to send or recieve mail , client will be configured on your computer., 1. once your mailbox has been migrated from notes to outlook, the outlook , reasons for using outlook web access (owa), 2. remote access to your mailbox.,  , -  offline use, the outlook and owa clients.  you will not be able to do many of the things , current notes user:, thank you,,  713-853-1411, otherwise, you may contact the resolution center at:,  outlook.2000@enron.com, outlook 2000 question and answer mailbox at:, if you have questions or concerns using the owa client, please contact the , questions or concerns?, -  personal distribution lists, -  direct resource booking, -  task delegation, please note:  there are some subtle differences in the functionality between , -  sharing contacts with others, -  outlook rules, -  expiration, -  timed delivery, -  reminders, -  printing templates, -  spell checker, -  journal, -  tasks, features not available using owa:, functions not available via owa:, in owa that you can do in outlook.  below is a brief list of *some* of the , -  voting, message flags and message recall, cc:  , please note:  your calendar entries, personal address book, journals, and , gagel/nyc/mgusa@mgusa, lisa goulart/nyc/mgusa@mgusa, ruth , little/enron@enronxgate, dale lukert/na/enron@enron, donald , johnson/contractor/enron communications@enron communications, jim , gramke/na/enron@enron, blair hicks/na/enron@enron, jennifer , stabler/hr/corp/enron@enron, michelle prince/na/enron@enron, james , monson/na/enron@enron, bobbie mcniel/hr/corp/enron@enron, john , harris/hr/corp/enron@enron, keith jones/hr/corp/enron@enron, kristi , fain/hr/corp/enron@enron, gary fitch/hr/corp/enron@enron, anna , hope/hou/ect@ect, charlotte brown/hr/corp/enron@enron, ronald , johnson/hr/corp/enron@enron, sandra lighthill/hr/corp/enron@enron, valeria a , matson/corp/enron@enron, laquitta washington/hr/corp/enron@enron, rick , castellano/hr/corp/enron@enron, gwynn gorsuch/na/enron@enron, jo ann , martin/na/enron@enron, andrew mattei/na/enron@enron, darvin , yowman/corp/enron@enron, angie o'brian/hr/corp/enron@enron, bonne , barrios/corp/enron@enron, milton brown/hr/corp/enron@enron, raj , schultea/hr/corp/enron@enron, leon mcdowell/na/enron@enron, leticia , morrison/corp/enron@enron, joe dorn/corp/enron@enron, kathryn , donald sutton/na/enron@enron, felicia buenrostro/hr/corp/enron@enron, johnna , tull/hou/ect@ect, dale smith/corp/enron@enron, dave june/na/enron@enron, , philpott/hr/corp/enron@enron, chris p wood/na/enron@enron, chris , bangerter/na/enron@enron, brian ellis/corp/enron@enron, charles , outlook migration team@enron, 02:14 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 05/01/2001 , balladares/nyc/mgusa@mgusa, sid strutt/nyc/mgusa@mgusa, perubhatla/corp/enron@enron, shekar komatireddy/na/enron@enron, andrea , mitchell/na/enron@enron, mark oldham/na/enron@enron, wesley , 04/27/2001 01:01 pm, natalie rau/na/enron@enron, william redick/na/enron@enron, mark a , craig taylor/hou/ect@ect, jessica hangach/nyc/mgusa@mgusa, kathy , pearson/na/enron@enron, ramon pizarro/enron_development@enron_development, , communications, lam nguyen/na/enron@enron, camille gerard/corp/enron@enron, , carter/na/enron@enron, tracy wood/na/enron@enron, gabriel fuzat/enron , boudreaux/enron@enronxgate, steve gillespie/corp/enron@enron, tamara , allwein/hou/ect@ect, scott loving/na/enron@enron, shanna , lia halstead/na/enron@enron, meredith homco/hou/ect@ect, robert , collins/hou/ees@ees, joe a casas/hou/ect@ect, kelly loocke/enron@enronxgate, , franklin/corp/enron@enron, jesse villarreal/hou/ect@ect, joan , calcagno/na/enron@enron, alvin thompson/corp/enron@enron, cynthia , potter/na/enron@enron, natalie baker/hou/ect@ect, suzanne , wukasch/corp/enron@enron, mary theresa franklin/hou/ect@ect, mike , communications@enron communications, jack netek/enron communications@enron , sanchez/hou/ect@ect, phillip k allen/hou/ect@ect, randall l gay/hou/ect@ect, , tori kuykendall/hou/ect@ect, brenda h fletcher/hou/ect@ect, jeanne , richardson/na/enron@enron, joseph schnieders/na/enron@enron, gary , upton/na/enron@enron, mike boegler/hr/corp/enron@enron, lyndel , click/hr/corp/enron@enron, gabriel franco/na/enron@enron, randy , gross/hr/corp/enron@enron, arthur johnson/hr/corp/enron@enron, danny , simmons/na/enron@enron, delaney trimble/na/enron@enron, david , ponce/na/enron@enron, tracy pursifull/hr/corp/enron@enron, lance , stanley/hr/corp/enron@enron, frank ermis/hou/ect@ect, jane m , tholt/hou/ect@ect, jay reitmeyer/hou/ect@ect, keith holst/hou/ect@ect, , matthew lenhart/hou/ect@ect, mike grigsby/hou/ect@ect, monique , jones/hr/corp/enron@enron, john ogden/houston/eott@eott, edgar }"
292,"{login id:  , survey.  when you finish, simply click on the 'reply' button then hit 'send'  , --------------------------------------------------------------, ------------------------------------------------------------------------------, outlook 2000 migration team, thank you., your survey will automatically be sent to the outlook 2000 migration mailbox., full name:        , cc:  , it is necessary to gather individual user information prior to your date of , to ensure that you experience a successful migration from notes to outlook, , current notes user: , balladares/nyc/mgusa@mgusa, sid strutt/nyc/mgusa@mgusa, gagel/nyc/mgusa@mgusa, lisa goulart/nyc/mgusa@mgusa, ruth , craig taylor/hou/ect@ect, jessica hangach/nyc/mgusa@mgusa, kathy , communications, lam nguyen/na/enron@enron, camille gerard/corp/enron@enron, , communications@enron communications, jack netek/enron communications@enron , extension:  , carter/na/enron@enron, tracy wood/na/enron@enron, gabriel fuzat/enron , migration.  please take a few minutes to completely fill out the following , office location:  , do you have access to a shared calendar?  , do you have a pda?  if yes, what type do you have:   (none, ipaq, palm pilot, , boudreaux/enron@enronxgate, steve gillespie/corp/enron@enron, tamara ,        if so, when?        from (mm/dd/yy):      to (mm/dd/yy):      , will you be out of the office in the near future for vacation, leave, etc?, what are your normal work hours?  from:      to:      , need to know:, in our efforts to plan the exact date/time of your migration, we also will , please list all notes databases applications that you currently use:  ,     if yes, please list here:  , mass mailings)?  , what type of computer do you have?  (desktop,  laptop,  both)  , do you have any distribution groups that messaging maintains for you (for ,     if yes, who?  , is anyone else responsible for updating your address book?  ,     if yes, who?  , are you responsible for updating anyone else's address book?  ,     if yes, who?  , does anyone have permission to access your email/calendar?  ,     if yes, who?  , do you have permission to access anyone's email/calendar?  , jornada)  ,     if yes, which shared calendar?  , allwein/hou/ect@ect, scott loving/na/enron@enron, shanna , mitchell/na/enron@enron, mark oldham/na/enron@enron, wesley , collins/hou/ees@ees, joe a casas/hou/ect@ect, kelly loocke/enron@enronxgate, , harris/hr/corp/enron@enron, keith jones/hr/corp/enron@enron, kristi , fain/hr/corp/enron@enron, gary fitch/hr/corp/enron@enron, anna , hope/hou/ect@ect, charlotte brown/hr/corp/enron@enron, ronald , johnson/hr/corp/enron@enron, sandra lighthill/hr/corp/enron@enron, valeria a , lia halstead/na/enron@enron, meredith homco/hou/ect@ect, robert , castellano/hr/corp/enron@enron, gwynn gorsuch/na/enron@enron, jo ann , yowman/corp/enron@enron, angie o'brian/hr/corp/enron@enron, bonne , perubhatla/corp/enron@enron, shekar komatireddy/na/enron@enron, andrea , barrios/corp/enron@enron, milton brown/hr/corp/enron@enron, raj , schultea/hr/corp/enron@enron, leon mcdowell/na/enron@enron, leticia , morrison/corp/enron@enron, joe dorn/corp/enron@enron, kathryn , donald sutton/na/enron@enron, felicia buenrostro/hr/corp/enron@enron, johnna , tull/hou/ect@ect, dale smith/corp/enron@enron, dave june/na/enron@enron, , philpott/hr/corp/enron@enron, chris p wood/na/enron@enron, chris , bangerter/na/enron@enron, brian ellis/corp/enron@enron, charles , 04/27/2001 01:00 pm, outlook migration team@enron, 02:14 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 05/01/2001 , monson/na/enron@enron, bobbie mcniel/hr/corp/enron@enron, john , stabler/hr/corp/enron@enron, michelle prince/na/enron@enron, james , matson/corp/enron@enron, laquitta washington/hr/corp/enron@enron, rick , johnson/contractor/enron communications@enron communications, jim , franklin/corp/enron@enron, jesse villarreal/hou/ect@ect, joan , calcagno/na/enron@enron, alvin thompson/corp/enron@enron, cynthia , gramke/na/enron@enron, blair hicks/na/enron@enron, jennifer , wukasch/corp/enron@enron, mary theresa franklin/hou/ect@ect, mike , tori kuykendall/hou/ect@ect, brenda h fletcher/hou/ect@ect, jeanne , sanchez/hou/ect@ect, phillip k allen/hou/ect@ect, randall l gay/hou/ect@ect, , matthew lenhart/hou/ect@ect, mike grigsby/hou/ect@ect, monique , tholt/hou/ect@ect, jay reitmeyer/hou/ect@ect, keith holst/hou/ect@ect, , stanley/hr/corp/enron@enron, frank ermis/hou/ect@ect, jane m , ponce/na/enron@enron, tracy pursifull/hr/corp/enron@enron, lance , potter/na/enron@enron, natalie baker/hou/ect@ect, suzanne , gross/hr/corp/enron@enron, arthur johnson/hr/corp/enron@enron, danny , click/hr/corp/enron@enron, gabriel franco/na/enron@enron, randy , upton/na/enron@enron, mike boegler/hr/corp/enron@enron, lyndel , simmons/na/enron@enron, delaney trimble/na/enron@enron, david , richardson/na/enron@enron, joseph schnieders/na/enron@enron, gary , natalie rau/na/enron@enron, william redick/na/enron@enron, mark a , pearson/na/enron@enron, ramon pizarro/enron_development@enron_development, , martin/na/enron@enron, andrew mattei/na/enron@enron, darvin , little/enron@enronxgate, dale lukert/na/enron@enron, donald , jones/hr/corp/enron@enron, john ogden/houston/eott@eott, edgar }"
293,"{phillip, did not receive them., alan, , you should have received updated numbers from keith holst.  call me if you }"
294,"{janel guerrero@enron, these three documents by monday afternoon?  , he also wants a forward price curve for both gas and power in ca.  can we get , week's ""ken lay tour"" to ca.  , year.  ken wants to have this updated chart in his briefing book for next , of the ""stupid regulatory/legislative decisions"" since the beginning of the , steve has asked that you update the power point below so that it reflects all , alan,, cc: paul kaufman/pdx/ect@ect, richard shapiro/na/enron@enron , 04/27/2001 12:44 pm, pm ---------------------------, alan comnes, alan comnes, ---------------------- forwarded by phillip k allen/hou/ect on 04/30/2001 , 11:21 am ---------------------------, 04/27/2001 01:38 pm, cc: joe hartsoe/corp/enron@enron , ---------------------- forwarded by alan comnes/pdx/ect on 04/27/2001 01:42 , i got this request.  on the gas side, i think kean/lay need an update to a , phillip,, table you prepared for me a few months ago, which i've attached..  can you , oblige?  thanks,}"
295,"{these three documents by monday afternoon?  , he also wants a forward price curve for both gas and power in ca.  can we get , week's ""ken lay tour"" to ca.  , year.  ken wants to have this updated chart in his briefing book for next , of the ""stupid regulatory/legislative decisions"" since the beginning of the , steve has asked that you update the power point below so that it reflects all , alan,, cc: paul kaufman/pdx/ect@ect, richard shapiro/na/enron@enron , 04/27/2001 12:44 pm, janel guerrero@enron, pm ---------------------------, alan comnes, alan comnes, oblige?  thanks,, table you prepared for me a few months ago, which i've attached..  can you , i got this request.  on the gas side, i think kean/lay need an update to a , phillip,, cc: joe hartsoe/corp/enron@enron , 04/27/2001 01:38 pm, ---------------------- forwarded by alan comnes/pdx/ect on 04/27/2001 01:42 , 10:36 am ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 04/30/2001 }"
296,"{outflows stayed at 100-110 at mcnary.  can you email or call with some , additional insight?, second half of april doesn't seem to have panned out as i expected.  the , phillip, thank you,, forecast for mcnary discharge during may.  it seems like the flows have been , lowered into the 130 range and there are fewer days near 170.  also the , southern california basis trader and is under a two year contract., can you authorize access to the west power site for keith holtz.  he is our , tim,, bcc: tim.belden@enron.com, cc: tim.belden@enron.com, on another note, is it my imagination or did the sarr website lower its }"
297,"{phillip allen, thank you for your time.  i am excited about potentially using your product., the distributor?  if you have the estimates worked up for johnnie will you , can you confirm that the price is the same direct from the factory or from , he has sent you my plans.  they were prepared by kipp flores architects.  , please email them to me as well?, the factory versus purchasing the panels through him since my site is within , contractor.  according to johnnie, i would not be pay any less buying from , i have also been speaking to johnnie brown in san antonio to be the general , gary,, his region.  assuming this is true, i will work directly with him.  i believe }"
298,"{phillip, california""?, on the language ""the average daily cost of gas for all delivery points in , publication will be used?  basically, can you help us get any clarification , ray,,  wholesale electric markets, is there any detail on the gas cost proxy.  which delivery points from which }"
299,"{andrea,, after reviewing bryan hull's resume, i think he would be best suited for the trading track program.  please forward his resume to karen buckley., phillip}"
300,"{existed at the time of this bid., bid for a 1 year storage contract beginning june 01 based on above , withdrawal fees.  also an undiscounted  june 01 to january 02 spread of $0.60 , i am not sure if this is exactly what you need or not.  please call or email , with comments., assumptions:  $0.05/ mmbtu/month ($0.60/year).  demand charges only., capacity, 1% fuel (injection only), 0.01/mmbtu variable injection and , phillip allen, summer/winter spreads and cycling value.  the following assumptions were made , cc: mike.grigsby@enron.com, bcc: mike.grigsby@enron.com, to establish our bid:  5% daily injection capacity, 10% daily withdrawal , regarding the waha storage, the west desk does not have a strong need for , ned,, this storage but we are always willing to show a bid based on the current }"
301,"{is there the potential for a surprise announcement of some sort of fixed , are there behind closed doors discussions being held prior to the meeting?  , cc:  , 04/25/2001 02:28 pm, phillip k allen@ect, agenda.  hope this info helps.  ray, competitive choices for consumers is the right answer, out of 3 currently on the commission, but he controls the meeting agenda and , strong anti- price cap position.  of course, hebert is just one commissioner , this is the latest intelligence i have on the matter, and it's a pretty , export california's problems to the west, eight out of eleven western governors oppose price caps, in that they would , demand, is not acceptable, any solution, however short term, that does not increase supply or reduce , if the draft order is not to his liking, the item could be bumped off the , price caps are almost never the right answer, some enlightening comments which relate to price caps:, ---------------------- forwarded by phillip k allen/hou/ect on 04/25/2001 , 01:51 pm ---------------------------, ray alvarez@enron, 04/25/2001 11:48 am, cc:  , price caps will have the effect of prolonging shortages, phil,  i suspect that discussions/negotiations are taking place behind closed , among ferc staffers.  never say never, but i think it is highly unlikely that , the final order will contain a fixed price cap.  i base this belief in large , part on what i heard at a luncheon i attended yesterday afternoon at which , the keynote speaker was ferc chairman curt hebert.  although the chairman , began his presentation by expressly stating that he would not comment or , price gas or power cap once the open meeting finally happens?, doors ""in smoke filled rooms"", if not directly between commissioners then , answer questions on pending proceedings before the commission, hebert had }"
302,"{price gas or power cap once the open meeting finally happens?, is there the potential for a surprise announcement of some sort of fixed , are there behind closed doors discussions being held prior to the meeting?  }"
303,"{12:51 pm ---------------------------, cc:  , 03/26/2001 10:01 am, hunter s shively, ---------------------- forwarded by phillip k allen/hou/ect on 04/25/2001 , pallen@enron.com, 713-853-7041, and fax you a copy., phillip allen, front porch.  , living area will be brought forward under this gable to be flush with the , front will be the addition of a gable across 25' on the left side.  the , porch across the entire back and 30' across the front.  a modification to the , 41' deep for the living area.  in addition there will be a 6' deep two story , here is a photograph of a similar house.  the dimensions would be 56'wide x , gary,, i don't have my floor plan with me at work today, but will bring in tomorrow }"
304,"{	, cc: shelley corman/et&s/enron@enron , rebecca.cantrell@enron.com, 10/31/2000 04:12 pm, access the ferc meeting this wednesday, november 8.  the instructions are , 04:49 pm ---------------------------, ---------------------- forwarded by janet butler/et&s/enron on 11/06/2000 , below., simply click on this url below and it should come up for you.  (this is , janet butler, assuming your computer is configured for real video/audio).  we will pay for , real player will connect you to the meeting, you are connected for tomorrow as long as you have access to real video., http://www.capitolconnection.gmu.edu/, instructions:, once into the capitol connection sight, click on ferc, click on first line (either ""click here"" or box), dialogue box should require:  user name:  enron-y,               password:  fercnow, expand your screen as you wish for easier viewing, adjust your sound as you wish, the annual contract and bill your cost centers., as long as you are configured to receive real video, you should be able to , here is the url address for the capitol connection.  you should be able to , 		 cc: , 	monique.sanchez@enron.com, randall.gay@enron.com, , 	frank.ermis@enron.com, jane.tholt@enron.com, , 	tori.kuykendall@enron.com, steven.south@enron.com, , 	jay.reitmeyer@enron.com, susan.scott@enron.com, ---------------------- forwarded by phillip k allen/hou/ect on 04/24/2001 , 02:23 pm ---------------------------, cc:  , mr. allen - , per our phone conversation, please see the instructions below to get access , to view ferc meetings.  please advise if there are any problems, questions or , concerns., eric benson@enron on 04/24/2001 11:47:40 am, 		 subject: instructions for ferc meetings, sr. specialist, enron government affairs - the americas, 713-853-1711, ++++++++++++++++++++++++++, ----- forwarded by eric benson/na/enron on 04/24/2001 01:45 pm -----, 	janet butler, 	11/06/2000 04:51 pm, 		 , 		 to: eric.benson@enron.com, steve.kean@enron.com, richard.shapiro@enron.com, eric benson}"
305,"{phillip, match the company's true risk then it needs to be revised or adjusted.  , short price this should be a large offset.  if the var calculation does not , frank,, set after today is the same as the risk in a long futures position.  whatever , the implied risk created by the san juan and rockies indeces being partially , the risk was prior should not matter.  since the rest of the books are very }"
306,"{i just spoke to the insurance company.  they are going to cancel and prorate , my policy and work with the kuo's to issue a new policy.}"
